input_data,average_agreement.py,average_common_pool.py,average_steal_agreement.py,min_agreement.py,min_common_pool.py,min_steal_agreement.py,pref_agreement.py,pref_common_pool.py,pref_steal_agreement.py,rigid_backfill.py,rigid_easy_backfill.py,best_scheduler
"30D[100|0|0]#S0{1,128|5E12,4E17}",0.8609,0.8609,0.8609,0.8609,0.8609,0.8609,0.8609,0.8609,0.8609,0.9682,0.8609,rigid_backfill.py
"30D[100|0|0]#S1{1,128|5E12,4E17}",0.8650,0.8650,0.8650,0.8650,0.8650,0.8650,0.8650,0.8650,0.8650,0.9716,0.8650,rigid_backfill.py
"30D[100|0|0]#S2{1,128|5E12,4E17}",0.8584,0.8584,0.8584,0.8584,0.8584,0.8584,0.8584,0.8584,0.8584,0.9542,0.8584,rigid_backfill.py
"30D[100|0|0]#S3{1,128|5E12,4E17}",0.8579,0.8579,0.8579,0.8579,0.8579,0.8579,0.8579,0.8579,0.8579,0.9646,0.8579,rigid_backfill.py
"30D[100|0|0]#S4{1,128|5E12,4E17}",0.8620,0.8620,0.8620,0.8620,0.8620,0.8620,0.8620,0.8620,0.8620,0.9634,0.8620,rigid_backfill.py
"30D[100|0|0]#S5{1,128|5E12,4E17}",0.8630,0.8630,0.8630,0.8630,0.8630,0.8630,0.8630,0.8630,0.8630,0.9553,0.8630,rigid_backfill.py
"30D[100|0|0]#S6{1,128|5E12,4E17}",0.8584,0.8584,0.8584,0.8584,0.8584,0.8584,0.8584,0.8584,0.8584,0.9689,0.8584,rigid_backfill.py
"30D[100|0|0]#S7{1,128|5E12,4E17}",0.8599,0.8599,0.8599,0.8599,0.8599,0.8599,0.8599,0.8599,0.8599,0.9744,0.8599,rigid_backfill.py
"30D[100|0|0]#S8{1,128|5E12,4E17}",0.8639,0.8639,0.8639,0.8639,0.8639,0.8639,0.8639,0.8639,0.8639,0.9683,0.8639,rigid_backfill.py
"30D[100|0|0]#S9{1,128|5E12,4E17}",0.8530,0.8530,0.8530,0.8530,0.8530,0.8530,0.8530,0.8530,0.8530,0.9661,0.8530,rigid_backfill.py
"30D[90|0|10]#S0{1,128|5E12,4E17}",0.9449,0.9471,0.9445,0.9460,0.9514,0.9435,0.9486,0.9454,0.9490,0.9682,0.8609,rigid_backfill.py
"30D[90|0|10]#S1{1,128|5E12,4E17}",0.9486,0.9476,0.9473,0.9485,0.9470,0.9491,0.9506,0.9465,0.9499,0.9716,0.8650,rigid_backfill.py
"30D[90|0|10]#S2{1,128|5E12,4E17}",0.9296,0.9303,0.9309,0.9307,0.9285,0.9307,0.9303,0.9297,0.9308,0.9542,0.8584,rigid_backfill.py
"30D[90|0|10]#S3{1,128|5E12,4E17}",0.9441,0.9452,0.9441,0.9436,0.9454,0.9442,0.9442,0.9455,0.9463,0.9646,0.8579,rigid_backfill.py
"30D[90|0|10]#S4{1,128|5E12,4E17}",0.9373,0.9383,0.9359,0.9362,0.9377,0.9359,0.9397,0.9432,0.9394,0.9634,0.8620,rigid_backfill.py
"30D[90|0|10]#S5{1,128|5E12,4E17}",0.9352,0.9363,0.9381,0.9363,0.9333,0.9363,0.9382,0.9367,0.9362,0.9553,0.8630,rigid_backfill.py
"30D[90|0|10]#S6{1,128|5E12,4E17}",0.9407,0.9416,0.9381,0.9458,0.9400,0.9458,0.9391,0.9454,0.9388,0.9689,0.8584,rigid_backfill.py
"30D[90|0|10]#S7{1,128|5E12,4E17}",0.9429,0.9410,0.9429,0.9399,0.9418,0.9399,0.9413,0.9420,0.9456,0.9744,0.8599,rigid_backfill.py
"30D[90|0|10]#S8{1,128|5E12,4E17}",0.9411,0.9411,0.9398,0.9422,0.9344,0.9408,0.9368,0.9318,0.9371,0.9683,0.8639,rigid_backfill.py
"30D[90|0|10]#S9{1,128|5E12,4E17}",0.9317,0.9363,0.9342,0.9363,0.9362,0.9345,0.9363,0.9359,0.9365,0.9661,0.8530,rigid_backfill.py
"30D[80|0|20]#S0{1,128|5E12,4E17}",0.9644,0.9663,0.9644,0.9610,0.9651,0.9652,0.9657,0.9665,0.9671,0.9682,0.8609,rigid_backfill.py
"30D[80|0|20]#S1{1,128|5E12,4E17}",0.9654,0.9641,0.9605,0.9642,0.9647,0.9642,0.9643,0.9634,0.9645,0.9716,0.8650,rigid_backfill.py
"30D[80|0|20]#S2{1,128|5E12,4E17}",0.9485,0.9497,0.9493,0.9483,0.9486,0.9492,0.9466,0.9486,0.9470,0.9542,0.8584,rigid_backfill.py
"30D[80|0|20]#S3{1,128|5E12,4E17}",0.9618,0.9615,0.9615,0.9623,0.9607,0.9624,0.9606,0.9591,0.9595,0.9646,0.8579,rigid_backfill.py
"30D[80|0|20]#S4{1,128|5E12,4E17}",0.9532,0.9521,0.9514,0.9524,0.9533,0.9524,0.9511,0.9567,0.9511,0.9634,0.8620,rigid_backfill.py
"30D[80|0|20]#S5{1,128|5E12,4E17}",0.9534,0.9546,0.9534,0.9546,0.9556,0.9540,0.9537,0.9522,0.9540,0.9553,0.8630,min_common_pool.py
"30D[80|0|20]#S6{1,128|5E12,4E17}",0.9622,0.9603,0.9624,0.9629,0.9605,0.9626,0.9634,0.9623,0.9637,0.9689,0.8584,rigid_backfill.py
