input_data,average_agreement.py,average_common_pool.py,average_steal_agreement.py,min_agreement.py,min_common_pool.py,min_steal_agreement.py,pref_agreement.py,pref_common_pool.py,pref_steal_agreement.py,rigid_backfill.py,rigid_easy_backfill.py,best_scheduler
"30D[100|0|0]#S0{1,128|5E12,4E17}",212877.2566,212877.2566,212877.2566,212877.2566,212877.2566,212877.2566,212877.2566,212877.2566,212877.2566,47120.4807,212877.2566,rigid_backfill.py
"30D[100|0|0]#S1{1,128|5E12,4E17}",206894.6652,206894.6652,206894.6652,206894.6652,206894.6652,206894.6652,206894.6652,206894.6652,206894.6652,39890.5315,206894.6652,rigid_backfill.py
"30D[100|0|0]#S2{1,128|5E12,4E17}",193549.6777,193549.6777,193549.6777,193549.6777,193549.6777,193549.6777,193549.6777,193549.6777,193549.6777,54370.8850,193549.6777,rigid_backfill.py
"30D[100|0|0]#S3{1,128|5E12,4E17}",203410.4103,203410.4103,203410.4103,203410.4103,203410.4103,203410.4103,203410.4103,203410.4103,203410.4103,35931.3173,203410.4103,rigid_backfill.py
"30D[100|0|0]#S4{1,128|5E12,4E17}",196912.4530,196912.4530,196912.4530,196912.4530,196912.4530,196912.4530,196912.4530,196912.4530,196912.4530,46188.7406,196912.4530,rigid_backfill.py
"30D[100|0|0]#S5{1,128|5E12,4E17}",175178.0237,175178.0237,175178.0237,175178.0237,175178.0237,175178.0237,175178.0237,175178.0237,175178.0237,37575.6881,175178.0237,rigid_backfill.py
"30D[100|0|0]#S6{1,128|5E12,4E17}",213980.5383,213980.5383,213980.5383,213980.5383,213980.5383,213980.5383,213980.5383,213980.5383,213980.5383,44238.4133,213980.5383,rigid_backfill.py
"30D[100|0|0]#S7{1,128|5E12,4E17}",233308.2906,233308.2906,233308.2906,233308.2906,233308.2906,233308.2906,233308.2906,233308.2906,233308.2906,55909.6405,233308.2906,rigid_backfill.py
"30D[100|0|0]#S8{1,128|5E12,4E17}",216173.1484,216173.1484,216173.1484,216173.1484,216173.1484,216173.1484,216173.1484,216173.1484,216173.1484,51822.0357,216173.1484,rigid_backfill.py
"30D[100|0|0]#S9{1,128|5E12,4E17}",232505.4427,232505.4427,232505.4427,232505.4427,232505.4427,232505.4427,232505.4427,232505.4427,232505.4427,56588.7353,232505.4427,rigid_backfill.py
"30D[90|0|10]#S0{1,128|5E12,4E17}",74655.1247,71496.7571,74936.8726,73238.1899,64533.5841,73595.7388,71350.6574,75158.8853,69502.7640,47120.4807,212877.2566,rigid_backfill.py
"30D[90|0|10]#S1{1,128|5E12,4E17}",66078.6675,66655.8503,65943.4890,66005.5890,68912.1913,65082.8621,66478.1744,69552.2684,65908.4511,39890.5315,206894.6652,rigid_backfill.py
