input_data,average_agreement.py,average_common_pool.py,average_steal_agreement.py,min_agreement.py,min_common_pool.py,min_steal_agreement.py,pref_agreement.py,pref_common_pool.py,pref_steal_agreement.py,rigid_backfill.py,rigid_easy_backfill.py,best_scheduler
"30D[100|0|0]#S0{1,128|5E12,4E17}",209519.4583,209519.4583,209519.4583,209519.4583,209519.4583,209519.4583,209519.4583,209519.4583,209519.4583,43762.6843,209519.4583,rigid_backfill.py
"30D[100|0|0]#S1{1,128|5E12,4E17}",203554.4340,203554.4340,203554.4340,203554.4340,203554.4340,203554.4340,203554.4340,203554.4340,203554.4340,36550.2984,203554.4340,rigid_backfill.py
"30D[100|0|0]#S2{1,128|5E12,4E17}",190196.5828,190196.5828,190196.5828,190196.5828,190196.5828,190196.5828,190196.5828,190196.5828,190196.5828,51017.7907,190196.5828,rigid_backfill.py
"30D[100|0|0]#S3{1,128|5E12,4E17}",200049.0355,200049.0355,200049.0355,200049.0355,200049.0355,200049.0355,200049.0355,200049.0355,200049.0355,32569.9503,200049.0355,rigid_backfill.py
"30D[100|0|0]#S4{1,128|5E12,4E17}",193567.8858,193567.8858,193567.8858,193567.8858,193567.8858,193567.8858,193567.8858,193567.8858,193567.8858,42844.1763,193567.8858,rigid_backfill.py
"30D[100|0|0]#S5{1,128|5E12,4E17}",171824.6266,171824.6266,171824.6266,171824.6266,171824.6266,171824.6266,171824.6266,171824.6266,171824.6266,34222.2878,171824.6266,rigid_backfill.py
"30D[100|0|0]#S6{1,128|5E12,4E17}",210628.6013,210628.6013,210628.6013,210628.6013,210628.6013,210628.6013,210628.6013,210628.6013,210628.6013,40886.4761,210628.6013,rigid_backfill.py
"30D[100|0|0]#S7{1,128|5E12,4E17}",229955.4616,229955.4616,229955.4616,229955.4616,229955.4616,229955.4616,229955.4616,229955.4616,229955.4616,52556.8088,229955.4616,rigid_backfill.py
"30D[100|0|0]#S8{1,128|5E12,4E17}",212815.1173,212815.1173,212815.1173,212815.1173,212815.1173,212815.1173,212815.1173,212815.1173,212815.1173,48464.0067,212815.1173,rigid_backfill.py
"30D[100|0|0]#S9{1,128|5E12,4E17}",229141.8294,229141.8294,229141.8294,229141.8294,229141.8294,229141.8294,229141.8294,229141.8294,229141.8294,53225.1172,229141.8294,rigid_backfill.py
"30D[90|0|10]#S0{1,128|5E12,4E17}",70825.5053,67672.1437,71107.8379,69415.4198,60732.0897,69776.0290,67545.9278,71354.0945,65692.1898,43762.6843,209519.4583,rigid_backfill.py
