input_data,average_agreement.py,average_common_pool.py,average_steal_agreement.py,min_agreement.py,min_common_pool.py,min_steal_agreement.py,pref_agreement.py,pref_common_pool.py,pref_steal_agreement.py,rigid_backfill.py,rigid_easy_backfill.py,best_scheduler
"30D[100|0|0]#S0{1,128|5E12,4E17}",3001750,3001750,3001750,3001750,3001750,3001750,3001750,3001750,3001750,2673350,3001750,rigid_backfill.py
"30D[100|0|0]#S1{1,128|5E12,4E17}",2990080,2990080,2990080,2990080,2990080,2990080,2990080,2990080,2990080,2664810,2990080,rigid_backfill.py
"30D[100|0|0]#S2{1,128|5E12,4E17}",3015110,3015110,3015110,3015110,3015110,3015110,3015110,3015110,3015110,2712900,3015110,rigid_backfill.py
"30D[100|0|0]#S3{1,128|5E12,4E17}",3015860,3015860,3015860,3015860,3015860,3015860,3015860,3015860,3015860,2682040,3015860,rigid_backfill.py
"30D[100|0|0]#S4{1,128|5E12,4E17}",3003280,3003280,3003280,3003280,3003280,3003280,3003280,3003280,3003280,2688060,3003280,rigid_backfill.py
"30D[100|0|0]#S5{1,128|5E12,4E17}",2997530,2997530,2997530,2997530,2997530,2997530,2997530,2997530,2997530,2710050,2997530,rigid_backfill.py
"30D[100|0|0]#S6{1,128|5E12,4E17}",3015030,3015030,3015030,3015030,3015030,3015030,3015030,3015030,3015030,2673580,3015030,rigid_backfill.py
"30D[100|0|0]#S7{1,128|5E12,4E17}",3010590,3010590,3010590,3010590,3010590,3010590,3010590,3010590,3010590,2656560,3010590,rigid_backfill.py
"30D[100|0|0]#S8{1,128|5E12,4E17}",2995050,2995050,2995050,2995050,2995050,2995050,2995050,2995050,2995050,2673360,2995050,rigid_backfill.py
"30D[100|0|0]#S9{1,128|5E12,4E17}",3035470,3035470,3035470,3035470,3035470,3035470,3035470,3035470,3035470,2679940,3035470,rigid_backfill.py
"30D[90|0|10]#S0{1,128|5E12,4E17}",2726950,2718840,2728150,2723850,2708010,2731260,2716170,2723860,2712970,2673350,3001750,rigid_backfill.py
