input_data,average_agreement.py,average_common_pool.py,average_steal_agreement.py,min_agreement.py,min_common_pool.py,min_steal_agreement.py,pref_agreement.py,pref_common_pool.py,pref_steal_agreement.py,rigid_backfill.py,rigid_easy_backfill.py
"30D[100|0|0]#S0{1,128|5E12,4E17}","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[100|0|0]#S1{1,128|5E12,4E17}","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[100|0|0]#S2{1,128|5E12,4E17}","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[100|0|0]#S3{1,128|5E12,4E17}","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[100|0|0]#S4{1,128|5E12,4E17}","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[100|0|0]#S5{1,128|5E12,4E17}","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[100|0|0]#S6{1,128|5E12,4E17}","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[100|0|0]#S7{1,128|5E12,4E17}","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[100|0|0]#S8{1,128|5E12,4E17}","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[100|0|0]#S9{1,128|5E12,4E17}","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[90|0|10]#S0{1,128|5E12,4E17}","862, 18.3, 0.4","869, 18.1, 0.4","888, 18.7, 0.4","882, 18.8, 0.4","904, 18.7, 0.4","863, 18.7, 0.4","1039, 15.1, 0.4","1004, 14.5, 0.4","1017, 14.8, 0.4","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[90|0|10]#S1{1,128|5E12,4E17}","769, 19.3, 0.3","773, 18.6, 0.3","748, 19.2, 0.3","769, 19.3, 0.3","767, 18.4, 0.3","782, 19.4, 0.3","874, 15.5, 0.4","861, 14.5, 0.4","868, 15.4, 0.4","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[90|0|10]#S2{1,128|5E12,4E17}","746, 20.5, 0.3","724, 20.0, 0.3","749, 20.7, 0.3","757, 20.6, 0.3","736, 20.1, 0.3","757, 20.6, 0.3","776, 16.1, 0.3","766, 15.8, 0.3","767, 16.2, 0.3","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[90|0|10]#S3{1,128|5E12,4E17}","798, 18.5, 0.3","839, 18.0, 0.4","798, 18.5, 0.3","800, 18.6, 0.3","824, 17.9, 0.4","802, 18.4, 0.3","938, 15.2, 0.4","916, 15.2, 0.4","960, 15.1, 0.4","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[90|0|10]#S4{1,128|5E12,4E17}","699, 19.7, 0.3","747, 19.3, 0.3","698, 19.4, 0.3","707, 19.3, 0.3","718, 19.7, 0.3","682, 19.0, 0.3","836, 15.1, 0.4","825, 15.6, 0.4","827, 15.1, 0.4","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[90|0|10]#S5{1,128|5E12,4E17}","763, 19.3, 0.3","805, 19.1, 0.4","789, 19.3, 0.3","783, 19.6, 0.3","757, 19.2, 0.3","783, 19.6, 0.3","878, 15.4, 0.4","825, 15.9, 0.4","829, 15.7, 0.4","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[90|0|10]#S6{1,128|5E12,4E17}","800, 18.9, 0.3","827, 18.2, 0.4","778, 18.8, 0.3","791, 18.8, 0.3","794, 18.3, 0.3","791, 18.8, 0.3","875, 14.6, 0.4","885, 14.7, 0.4","879, 14.6, 0.4","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[90|0|10]#S7{1,128|5E12,4E17}","832, 18.4, 0.4","846, 18.2, 0.4","832, 18.4, 0.4","834, 18.8, 0.4","835, 18.4, 0.4","834, 18.8, 0.4","904, 15.2, 0.4","862, 15.1, 0.4","876, 15.6, 0.4","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[90|0|10]#S8{1,128|5E12,4E17}","790, 18.3, 0.3","808, 18.8, 0.3","797, 18.5, 0.3","771, 18.6, 0.3","750, 18.0, 0.3","802, 18.9, 0.3","836, 14.4, 0.4","807, 14.9, 0.3","839, 14.4, 0.4","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[90|0|10]#S9{1,128|5E12,4E17}","779, 18.8, 0.3","782, 18.6, 0.3","772, 19.1, 0.3","773, 18.9, 0.3","791, 18.3, 0.3","774, 18.6, 0.3","852, 15.6, 0.4","879, 15.2, 0.4","862, 15.7, 0.4","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[80|0|20]#S0{1,128|5E12,4E17}","1185, 20.9, 0.5","1255, 20.4, 0.5","1186, 20.9, 0.5","1181, 21.0, 0.5","1248, 20.6, 0.5","1192, 20.4, 0.5","1459, 16.4, 0.6","1492, 16.1, 0.6","1439, 16.1, 0.6","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[80|0|20]#S1{1,128|5E12,4E17}","1079, 21.1, 0.5","1083, 21.3, 0.5","1072, 21.2, 0.5","1090, 21.6, 0.5","1110, 21.3, 0.5","1090, 21.6, 0.5","1290, 16.0, 0.6","1285, 16.2, 0.6","1247, 16.3, 0.6","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[80|0|20]#S2{1,128|5E12,4E17}","1091, 21.4, 0.5","1154, 20.8, 0.5","1105, 21.6, 0.5","1111, 21.6, 0.5","1110, 21.4, 0.5","1106, 21.5, 0.5","1209, 17.3, 0.5","1249, 17.1, 0.5","1216, 17.3, 0.5","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[80|0|20]#S3{1,128|5E12,4E17}","1187, 21.2, 0.5","1185, 20.7, 0.5","1185, 21.2, 0.5","1175, 21.5, 0.5","1207, 20.6, 0.5","1165, 21.5, 0.5","1362, 16.5, 0.6","1410, 16.1, 0.6","1364, 16.5, 0.6","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[80|0|20]#S4{1,128|5E12,4E17}","1092, 20.9, 0.5","1084, 20.5, 0.5","1073, 21.0, 0.5","1038, 21.3, 0.5","1062, 21.1, 0.5","1038, 21.3, 0.5","1199, 16.3, 0.5","1256, 16.4, 0.6","1200, 16.3, 0.5","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[80|0|20]#S5{1,128|5E12,4E17}","1125, 21.4, 0.5","1153, 20.7, 0.5","1125, 21.4, 0.5","1107, 21.7, 0.5","1136, 21.0, 0.5","1107, 21.4, 0.5","1259, 17.2, 0.6","1306, 16.8, 0.6","1281, 17.0, 0.6","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[80|0|20]#S6{1,128|5E12,4E17}","1140, 20.7, 0.5","1158, 20.1, 0.5","1142, 20.8, 0.5","1119, 20.8, 0.5","1146, 20.7, 0.5","1134, 20.9, 0.5","1355, 16.0, 0.6","1338, 16.2, 0.6","1364, 16.0, 0.6","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[80|0|20]#S7{1,128|5E12,4E17}","1101, 19.8, 0.5","1197, 19.4, 0.5","1141, 20.3, 0.5","1117, 20.2, 0.5","1181, 20.2, 0.5","1155, 20.7, 0.5","1206, 16.5, 0.5","1315, 15.7, 0.6","1192, 17.0, 0.5","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[80|0|20]#S8{1,128|5E12,4E17}","1169, 20.9, 0.5","1178, 20.3, 0.5","1179, 20.7, 0.5","1123, 20.8, 0.5","1206, 20.7, 0.5","1130, 20.8, 0.5","1286, 16.8, 0.6","1228, 17.0, 0.5","1275, 16.7, 0.5","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[80|0|20]#S9{1,128|5E12,4E17}","1140, 20.9, 0.5","1176, 20.4, 0.5","1150, 21.0, 0.5","1152, 20.8, 0.5","1182, 20.3, 0.5","1161, 20.9, 0.5","1244, 16.9, 0.5","1361, 17.1, 0.6","1258, 16.7, 0.6","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[70|0|30]#S0{1,128|5E12,4E17}","1422, 22.0, 0.6","1478, 21.4, 0.6","1415, 21.8, 0.6","1424, 22.0, 0.6","1449, 21.8, 0.6","1409, 21.9, 0.6","1727, 16.5, 0.7","1705, 16.4, 0.7","1735, 16.7, 0.7","0, 0.0, 0.0","0, 0.0, 0.0"
