input_data,average_agreement.py,average_common_pool.py,average_steal_agreement.py,min_agreement.py,min_common_pool.py,min_steal_agreement.py,pref_agreement.py,pref_common_pool.py,pref_steal_agreement.py,rigid_backfill.py,rigid_easy_backfill.py
"30D[100|0|0]#S0{1,128|5E12,4E17}","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[100|0|0]#S1{1,128|5E12,4E17}","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[100|0|0]#S2{1,128|5E12,4E17}","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[100|0|0]#S3{1,128|5E12,4E17}","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[100|0|0]#S4{1,128|5E12,4E17}","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[100|0|0]#S5{1,128|5E12,4E17}","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[100|0|0]#S6{1,128|5E12,4E17}","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[100|0|0]#S7{1,128|5E12,4E17}","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[100|0|0]#S8{1,128|5E12,4E17}","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[100|0|0]#S9{1,128|5E12,4E17}","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[90|0|10]#S0{1,128|5E12,4E17}","906, 15.8, 0.4","935, 15.3, 0.4","945, 16.0, 0.4","922, 16.2, 0.4","963, 15.9, 0.4","904, 16.1, 0.4","1004, 15.5, 0.4","989, 14.9, 0.4","988, 15.4, 0.4","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[90|0|10]#S1{1,128|5E12,4E17}","831, 16.3, 0.4","824, 15.9, 0.4","805, 16.2, 0.4","813, 16.6, 0.4","804, 16.1, 0.4","821, 16.9, 0.4","861, 15.9, 0.4","841, 15.2, 0.4","857, 15.8, 0.4","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[90|0|10]#S2{1,128|5E12,4E17}","773, 17.8, 0.3","756, 17.2, 0.3","774, 18.0, 0.3","771, 18.3, 0.3","757, 17.3, 0.3","771, 18.3, 0.3","742, 17.0, 0.3","741, 16.5, 0.3","743, 17.1, 0.3","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[90|0|10]#S3{1,128|5E12,4E17}","855, 15.4, 0.4","891, 15.1, 0.4","855, 15.4, 0.4","841, 15.7, 0.4","847, 15.3, 0.4","847, 15.5, 0.4","909, 15.5, 0.4","884, 15.2, 0.4","919, 15.5, 0.4","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[90|0|10]#S4{1,128|5E12,4E17}","763, 16.5, 0.3","780, 16.6, 0.3","758, 16.4, 0.3","756, 16.6, 0.3","757, 16.7, 0.3","732, 16.2, 0.3","790, 15.8, 0.3","791, 15.9, 0.3","776, 15.9, 0.3","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[90|0|10]#S5{1,128|5E12,4E17}","789, 16.6, 0.3","824, 16.6, 0.4","815, 16.7, 0.4","806, 17.0, 0.4","781, 16.4, 0.3","806, 17.0, 0.4","805, 16.7, 0.4","776, 16.7, 0.3","779, 16.6, 0.3","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[90|0|10]#S6{1,128|5E12,4E17}","838, 16.3, 0.4","884, 15.4, 0.4","828, 16.0, 0.4","830, 16.5, 0.4","837, 15.7, 0.4","830, 16.5, 0.4","866, 15.1, 0.4","845, 15.5, 0.4","866, 15.1, 0.4","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[90|0|10]#S7{1,128|5E12,4E17}","898, 15.8, 0.4","908, 15.7, 0.4","898, 15.8, 0.4","861, 16.9, 0.4","873, 16.2, 0.4","861, 16.9, 0.4","887, 15.8, 0.4","880, 15.4, 0.4","888, 15.9, 0.4","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[90|0|10]#S8{1,128|5E12,4E17}","836, 15.8, 0.4","846, 16.1, 0.4","833, 16.1, 0.4","805, 16.2, 0.3","790, 15.5, 0.3","839, 16.4, 0.4","834, 14.8, 0.4","824, 15.0, 0.4","832, 14.8, 0.4","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[90|0|10]#S9{1,128|5E12,4E17}","822, 16.5, 0.4","836, 15.8, 0.4","825, 16.4, 0.4","816, 16.6, 0.4","836, 16.0, 0.4","816, 16.3, 0.4","836, 16.0, 0.4","863, 15.6, 0.4","857, 16.0, 0.4","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[80|0|20]#S0{1,128|5E12,4E17}","1228, 17.0, 0.5","1298, 17.0, 0.6","1235, 17.0, 0.5","1245, 17.2, 0.5","1281, 17.2, 0.6","1235, 16.9, 0.5","1313, 16.4, 0.6","1364, 16.2, 0.6","1313, 16.2, 0.6","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[80|0|20]#S1{1,128|5E12,4E17}","1100, 17.3, 0.5","1090, 17.6, 0.5","1104, 17.2, 0.5","1098, 18.2, 0.5","1141, 17.7, 0.5","1098, 18.2, 0.5","1173, 16.4, 0.5","1161, 16.5, 0.5","1148, 16.3, 0.5","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[80|0|20]#S2{1,128|5E12,4E17}","1081, 18.3, 0.5","1139, 17.8, 0.5","1107, 18.2, 0.5","1108, 18.4, 0.5","1092, 18.3, 0.5","1100, 18.3, 0.5","1118, 17.3, 0.5","1142, 17.4, 0.5","1125, 17.4, 0.5","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[80|0|20]#S3{1,128|5E12,4E17}","1206, 17.3, 0.5","1197, 17.2, 0.5","1201, 17.5, 0.5","1166, 17.8, 0.5","1196, 17.2, 0.5","1163, 17.8, 0.5","1203, 16.5, 0.5","1232, 16.5, 0.5","1212, 16.5, 0.5","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[80|0|20]#S4{1,128|5E12,4E17}","1105, 17.6, 0.5","1102, 17.3, 0.5","1089, 17.5, 0.5","1042, 17.9, 0.5","1060, 17.9, 0.5","1042, 17.9, 0.5","1093, 16.8, 0.5","1162, 16.4, 0.5","1092, 16.7, 0.5","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[80|0|20]#S5{1,128|5E12,4E17}","1095, 18.0, 0.5","1124, 17.4, 0.5","1095, 18.0, 0.5","1075, 18.5, 0.5","1101, 17.8, 0.5","1075, 18.3, 0.5","1093, 17.3, 0.5","1146, 17.0, 0.5","1106, 17.3, 0.5","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[80|0|20]#S6{1,128|5E12,4E17}","1201, 17.0, 0.5","1188, 16.7, 0.5","1202, 17.1, 0.5","1143, 17.5, 0.5","1161, 17.5, 0.5","1166, 17.6, 0.5","1209, 16.3, 0.5","1229, 16.2, 0.5","1216, 16.3, 0.5","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[80|0|20]#S7{1,128|5E12,4E17}","1156, 16.8, 0.5","1272, 16.4, 0.6","1194, 17.4, 0.5","1157, 17.4, 0.5","1244, 17.2, 0.5","1195, 17.8, 0.5","1183, 16.5, 0.5","1279, 15.9, 0.6","1216, 16.6, 0.5","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[80|0|20]#S8{1,128|5E12,4E17}","1209, 17.9, 0.5","1239, 16.9, 0.5","1220, 17.9, 0.5","1163, 17.7, 0.5","1226, 18.2, 0.5","1171, 17.7, 0.5","1241, 17.0, 0.5","1216, 16.9, 0.5","1238, 16.9, 0.5","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[80|0|20]#S9{1,128|5E12,4E17}","1210, 17.4, 0.5","1237, 17.2, 0.5","1224, 17.4, 0.5","1195, 17.7, 0.5","1219, 17.3, 0.5","1208, 17.8, 0.5","1196, 16.9, 0.5","1278, 17.1, 0.6","1204, 16.8, 0.5","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[70|0|30]#S0{1,128|5E12,4E17}","1436, 17.4, 0.6","1493, 17.3, 0.6","1432, 17.2, 0.6","1432, 17.4, 0.6","1451, 17.3, 0.6","1416, 17.5, 0.6","1514, 16.5, 0.7","1480, 16.5, 0.6","1511, 16.9, 0.7","0, 0.0, 0.0","0, 0.0, 0.0"
