scheduler,total_runtime-Performance,total_runtime-Rigid-Change,total_runtime-Malleable-Percent-Change,average_wait_time-Performance,average_wait_time-Rigid-Change,average_wait_time-Malleable-Percent-Change,average_turnaround_time-Performance,average_turnaround_time-Rigid-Change,average_turnaround_time-Malleable-Percent-Change,average_makespan-Performance,average_makespan-Rigid-Change,average_makespan-Malleable-Percent-Change,average_node_utilization-Performance,average_node_utilization-Rigid-Change,average_node_utilization-Malleable-Percent-Change,end_of_max-Performance,end_of_max-Rigid-Change,end_of_max-Malleable-Percent-Change,shrink_event-Event-Amount,shrink_event-Nodes-Per-Event,shrink_event-Event-Per-Job,expand_event-Event-Amount,expand_event-Nodes-Per-Event,expand_event-Event-Per-Job
average_agreement.py,"2595180.0, 2677303.2, 3037630.0",0.8890,"0:3011532.0000, 10:2746065.0000, 20:2680132.0000, 30:2654199.0000, 40:2640218.0000, 50:2631924.0000, 60:2626339.0000, 70:2621503.0000, 80:2618197.0000, 90:2613773.0000, 100:2606453.0000","3839.9, 40037.5, 229955.5",0.1952,"0:205125.3033, 10:72478.3184, 20:41655.9389, 30:29938.1566, 40:22059.4542, 50:17711.4819, 60:14671.5653, 70:12069.1150, 80:10206.6434, 90:8402.6039, 100:6093.4366","11114.4, 45329.9, 233308.3",0.2174,"0:208478.9907, 10:76223.3634, 20:45771.3126, 30:34437.5404, 40:26916.6115, 50:22935.1041, 60:20301.5436, 70:18118.1138, 80:16674.3750, 90:15319.9453, 100:13452.2985","3340.2, 5292.5, 7653.7",1.5781,"0:3353.6868, 10:3745.0441, 20:4115.3733, 30:4499.3837, 40:4857.1574, 50:5223.6218, 60:5629.9782, 70:6048.9990, 80:6467.7318, 90:6917.3414, 100:7358.8621","0.9, 1.0, 1.0",1.1080,"0:0.8602, 10:0.9396, 20:0.9592, 30:0.9653, 40:0.9675, 50:0.9677, 60:0.9666, 70:0.9654, 80:0.9640, 90:0.9632, 100:0.9655","2593880.0, 2675588.7, 3035470.0",0.8895,"0:3007975.0000, 10:2744437.0000, 20:2678529.0000, 30:2652404.0000, 40:2638345.0000, 50:2630122.0000, 60:2625138.0000, 70:2619415.0000, 80:2616364.0000, 90:2612407.0000, 100:2606340.0000","0:0.0000, 10:831.1000, 20:1159.1000, 30:1383.9000, 40:1556.7000, 50:1708.3000, 60:1826.5000, 70:1957.1000, 80:2050.9000, 90:2079.0000, 100:1453.1000","0:0.0000, 10:16.2747, 20:17.4566, 30:17.5806, 40:17.6713, 50:17.5075, 60:17.2651, 70:17.0029, 80:16.6297, 90:15.9826, 100:9.1009","0:0.0000, 10:0.3626, 20:0.5057, 30:0.6038, 40:0.6792, 50:0.7454, 60:0.7971, 70:0.8540, 80:0.8949, 90:0.9072, 100:0.6341","0:0.0000, 10:783.8000, 20:1130.9000, 30:1364.2000, 40:1560.1000, 50:1732.7000, 60:1864.3000, 70:2010.1000, 80:2124.2000, 90:2212.0000, 100:2011.5000","0:0.0000, 10:18.9960, 20:20.9187, 30:22.0165, 40:22.9365, 50:23.7068, 60:24.1958, 70:24.6418, 80:25.0811, 90:25.0775, 100:19.9819","0:0.0000, 10:0.3420, 20:0.4935, 30:0.5952, 40:0.6807, 50:0.7561, 60:0.8136, 70:0.8772, 80:0.9269, 90:0.9653, 100:0.8778"
average_common_pool.py,"2595180.0, 2677078.6, 3037630.0",0.8889,"0:3011532.0000, 10:2743541.0000, 20:2680898.0000, 30:2653551.0000, 40:2639334.0000, 50:2632208.0000, 60:2626485.0000, 70:2621354.0000, 80:2618373.0000, 90:2614023.0000, 100:2606566.0000","3847.5, 40006.7, 229955.5",0.1950,"0:205125.3033, 10:72030.5198, 20:41904.9646, 30:29604.0883, 40:22010.1017, 50:17844.1821, 60:14689.3384, 70:11951.8846, 80:10329.7042, 90:8507.6482, 100:6075.6474","11114.6, 45290.5, 233308.3",0.2172,"0:208478.9907, 10:75773.8320, 20:46013.3018, 30:34088.8975, 40:26860.4201, 50:23071.9658, 60:20310.2143, 70:17984.6289, 80:16774.4981, 90:15420.4206, 100:13418.3597","3340.2, 5283.8, 7662.5",1.5755,"0:3353.6868, 10:3743.3119, 20:4108.3375, 30:4484.8094, 40:4850.3186, 50:5227.7839, 60:5620.8758, 70:6032.7439, 80:6444.7937, 90:6912.7725, 100:7342.7122","0.9, 1.0, 1.0",1.1081,"0:0.8602, 10:0.9405, 20:0.9590, 30:0.9656, 40:0.9678, 50:0.9675, 60:0.9667, 70:0.9656, 80:0.9641, 90:0.9631, 100:0.9655","2593880.0, 2675402.0, 3035470.0",0.8894,"0:3007975.0000, 10:2741949.0000, 20:2678794.0000, 30:2652174.0000, 40:2637927.0000, 50:2630524.0000, 60:2624308.0000, 70:2619734.0000, 80:2616656.0000, 90:2612930.0000, 100:2606451.0000","0:0.0000, 10:848.4000, 20:1188.6000, 30:1410.5000, 40:1584.9000, 50:1726.2000, 60:1864.2000, 70:1975.3000, 80:2084.7000, 90:2092.8000, 100:1483.6000","0:0.0000, 10:15.9774, 20:17.1590, 30:17.4129, 40:17.6363, 50:17.4503, 60:17.1325, 70:16.9511, 80:16.6080, 90:15.8784, 100:9.1267","0:0.0000, 10:0.3702, 20:0.5185, 30:0.6154, 40:0.6915, 50:0.7532, 60:0.8135, 70:0.8620, 80:0.9097, 90:0.9133, 100:0.6474","0:0.0000, 10:802.0000, 20:1162.3000, 30:1400.2000, 40:1591.0000, 50:1750.2000, 60:1891.4000, 70:2033.8000, 80:2159.3000, 90:2231.6000, 100:2050.1000","0:0.0000, 10:18.6772, 20:20.4747, 30:21.6405, 40:22.7674, 50:23.5016, 60:24.0461, 70:24.4044, 80:24.9409, 90:24.8102, 100:19.7456","0:0.0000, 10:0.3499, 20:0.5071, 30:0.6110, 40:0.6942, 50:0.7637, 60:0.8254, 70:0.8875, 80:0.9423, 90:0.9739, 100:0.8947"
average_steal_agreement.py,"2595180.0, 2677369.9, 3037630.0",0.8890,"0:3011532.0000, 10:2746120.0000, 20:2680567.0000, 30:2653734.0000, 40:2640063.0000, 50:2631927.0000, 60:2626728.0000, 70:2621799.0000, 80:2618316.0000, 90:2613830.0000, 100:2606453.0000","3842.1, 40057.8, 229955.5",0.1953,"0:205125.3033, 10:72694.6146, 20:41892.5039, 30:29889.6359, 40:21980.7613, 50:17700.9559, 60:14736.0732, 70:11935.9511, 80:10146.6789, 90:8440.4400, 100:6093.3514","11116.9, 45348.6, 233308.3",0.2175,"0:208478.9907, 10:76441.3557, 20:46005.4309, 30:34385.5543, 40:26832.3332, 50:22937.2824, 60:20361.2525, 70:17982.8490, 80:16602.7200, 90:15354.0254, 100:13452.8188","3340.2, 5290.8, 7653.5",1.5776,"0:3353.6868, 10:3746.7415, 20:4112.9263, 30:4495.9182, 40:4851.5720, 50:5236.3265, 60:5625.1791, 70:6046.8980, 80:6456.0415, 90:6913.5856, 100:7359.4675","0.9, 1.0, 1.0",1.1080,"0:0.8602, 10:0.9396, 20:0.9591, 30:0.9655, 40:0.9677, 50:0.9676, 60:0.9666, 70:0.9654, 80:0.9641, 90:0.9633, 100:0.9655","2593880.0, 2675631.8, 3035470.0",0.8895,"0:3007975.0000, 10:2744537.0000, 20:2678636.0000, 30:2651977.0000, 40:2638565.0000, 50:2629863.0000, 60:2625338.0000, 70:2619963.0000, 80:2616237.0000, 90:2612519.0000, 100:2606340.0000","0:0.0000, 10:833.6000, 20:1167.1000, 30:1386.9000, 40:1559.7000, 50:1700.9000, 60:1829.3000, 70:1956.1000, 80:2055.2000, 90:2076.4000, 100:1452.5000","0:0.0000, 10:16.3145, 20:17.5241, 30:17.5014, 40:17.7218, 50:17.4363, 60:17.2299, 70:17.0294, 80:16.7026, 90:15.9450, 100:9.0932","0:0.0000, 10:0.3637, 20:0.5092, 30:0.6051, 40:0.6805, 50:0.7422, 60:0.7983, 70:0.8536, 80:0.8968, 90:0.9061, 100:0.6338","0:0.0000, 10:784.9000, 20:1135.8000, 30:1367.0000, 40:1564.9000, 50:1726.2000, 60:1865.6000, 70:2009.6000, 80:2127.4000, 90:2211.2000, 100:2010.9000","0:0.0000, 10:19.0500, 20:21.0090, 30:21.9533, 40:22.9850, 50:23.5283, 60:24.2899, 70:24.6304, 80:25.2208, 90:25.0727, 100:19.9858","0:0.0000, 10:0.3424, 20:0.4956, 30:0.5965, 40:0.6828, 50:0.7533, 60:0.8141, 70:0.8770, 80:0.9284, 90:0.9650, 100:0.8776"
min_agreement.py,"2595060.0, 2677185.8, 3037630.0",0.8890,"0:3011532.0000, 10:2743269.0000, 20:2681714.0000, 30:2653397.0000, 40:2640154.0000, 50:2633528.0000, 60:2626025.0000, 70:2621338.0000, 80:2617471.0000, 90:2614114.0000, 100:2606502.0000","3883.4, 40016.7, 229955.5",0.1951,"0:205125.3033, 10:71803.9205, 20:41713.8194, 30:29831.9842, 40:22251.6716, 50:18203.5871, 60:14643.9950, 70:12081.0768, 80:9997.1673, 90:8443.4178, 100:6088.1078","11136.9, 45300.1, 233308.3",0.2173,"0:208478.9907, 10:75547.6721, 20:45816.8329, 30:34316.0313, 40:27112.1526, 50:23423.8603, 60:20271.8683, 70:18106.7209, 80:16444.3212, 90:15355.0523, 100:13427.2863","3340.2, 5283.3, 7666.3",1.5754,"0:3353.6868, 10:3743.7505, 20:4103.0143, 30:4484.0472, 40:4860.4807, 50:5220.2734, 60:5627.8732, 70:6025.6441, 80:6447.1539, 90:6911.6348, 100:7339.1782","0.9, 1.0, 1.0",1.1081,"0:0.8602, 10:0.9406, 20:0.9588, 30:0.9657, 40:0.9674, 50:0.9671, 60:0.9668, 70:0.9656, 80:0.9644, 90:0.9632, 100:0.9655","2593760.0, 2675398.3, 3035470.0",0.8894,"0:3007975.0000, 10:2741098.0000, 20:2679760.0000, 30:2652265.0000, 40:2638000.0000, 50:2631972.0000, 60:2624255.0000, 70:2619856.0000, 80:2615493.0000, 90:2612309.0000, 100:2606398.0000","0:0.0000, 10:822.1000, 20:1139.2000, 30:1357.5000, 40:1522.8000, 50:1677.6000, 60:1793.7000, 70:1924.0000, 80:2007.5000, 90:2040.1000, 100:1436.6000","0:0.0000, 10:16.6636, 20:17.8307, 30:17.9593, 40:18.0297, 50:17.8878, 60:17.5737, 70:17.2812, 80:16.9398, 90:16.2518, 100:9.2380","0:0.0000, 10:0.3587, 20:0.4971, 30:0.5923, 40:0.6644, 50:0.7320, 60:0.7828, 70:0.8396, 80:0.8760, 90:0.8902, 100:0.6269","0:0.0000, 10:786.7000, 20:1121.3000, 30:1359.5000, 40:1543.7000, 50:1711.8000, 60:1844.6000, 70:1993.8000, 80:2103.8000, 90:2192.8000, 100:1997.3000","0:0.0000, 10:19.1357, 20:21.1485, 30:22.1363, 40:23.1437, 50:23.9789, 60:24.4897, 70:24.7892, 80:25.3696, 90:25.3282, 100:20.1095","0:0.0000, 10:0.3433, 20:0.4893, 30:0.5932, 40:0.6736, 50:0.7470, 60:0.8050, 70:0.8701, 80:0.9180, 90:0.9569, 100:0.8716"
min_common_pool.py,"2595060.0, 2677349.9, 3037630.0",0.8890,"0:3011532.0000, 10:2746244.0000, 20:2679629.0000, 30:2651592.0000, 40:2640442.0000, 50:2633824.0000, 60:2627492.0000, 70:2621723.0000, 80:2617459.0000, 90:2614248.0000, 100:2606664.0000","3872.6, 40059.2, 229955.5",0.1953,"0:205125.3033, 10:73040.2258, 20:42151.3611, 30:28967.2696, 40:22187.8233, 50:17945.6934, 60:14794.3312, 70:11829.2621, 80:10101.3637, 90:8437.9859, 100:6070.7929","11115.3, 45331.6, 233308.3",0.2174,"0:208478.9907, 10:76781.9919, 20:46260.6614, 30:33433.8832, 40:27025.3114, 50:23145.3339, 60:20397.3815, 70:17848.2650, 80:16559.4030, 90:15329.3989, 100:13387.0647","3340.2, 5272.4, 7614.2",1.5721,"0:3353.6868, 10:3741.7651, 20:4109.3002, 30:4466.6138, 40:4837.4880, 50:5199.6405, 60:5603.0501, 70:6019.0030, 80:6458.0394, 90:6891.4132, 100:7316.2718","0.9, 1.0, 1.0",1.1081,"0:0.8602, 10:0.9396, 20:0.9595, 30:0.9664, 40:0.9675, 50:0.9671, 60:0.9665, 70:0.9656, 80:0.9643, 90:0.9632, 100:0.9655","2593760.0, 2675481.1, 3035470.0",0.8895,"0:3007975.0000, 10:2744702.0000, 20:2677262.0000, 30:2649405.0000, 40:2638643.0000, 50:2631384.0000, 60:2625458.0000, 70:2620227.0000, 80:2616105.0000, 90:2612581.0000, 100:2606550.0000","0:0.0000, 10:824.5000, 20:1172.1000, 30:1397.8000, 40:1548.9000, 50:1693.0000, 60:1824.7000, 70:1942.9000, 80:2023.9000, 90:2053.3000, 100:1468.7000","0:0.0000, 10:16.1241, 20:17.6442, 30:17.7745, 40:18.0000, 50:17.6996, 60:17.5133, 70:17.2556, 80:16.8376, 90:16.1093, 100:9.2633","0:0.0000, 10:0.3597, 20:0.5114, 30:0.6099, 40:0.6758, 50:0.7387, 60:0.7963, 70:0.8478, 80:0.8832, 90:0.8961, 100:0.6408","0:0.0000, 10:787.6000, 20:1158.8000, 30:1398.9000, 40:1576.0000, 50:1736.7000, 60:1875.4000, 70:2024.1000, 80:2127.3000, 90:2213.5000, 100:2040.9000","0:0.0000, 10:18.6982, 20:20.7827, 30:21.9565, 40:23.0469, 50:23.6849, 60:24.4348, 70:24.5871, 80:25.0625, 90:25.0304, 100:19.8064","0:0.0000, 10:0.3436, 20:0.5056, 30:0.6104, 40:0.6876, 50:0.7578, 60:0.8184, 70:0.8833, 80:0.9284, 90:0.9660, 100:0.8907"
min_steal_agreement.py,"2595060.0, 2677122.0, 3037630.0",0.8890,"0:3011532.0000, 10:2744652.0000, 20:2679626.0000, 30:2654044.0000, 40:2640368.0000, 50:2632798.0000, 60:2626190.0000, 70:2621511.0000, 80:2617143.0000, 90:2613973.0000, 100:2606505.0000","3883.4, 39995.3, 229955.5",0.1950,"0:205125.3033, 10:72060.5009, 20:41185.6276, 30:30027.0128, 40:22331.6394, 50:17837.9382, 60:14703.1751, 70:12119.4014, 80:10006.7992, 90:8456.6406, 100:6094.6605","11136.9, 45278.5, 233308.3",0.2172,"0:208478.9907, 10:75803.2867, 20:45290.8884, 30:34520.4539, 40:27186.3119, 50:23050.3640, 60:20339.0405, 70:18142.3113, 80:16454.0445, 90:15366.0997, 100:13431.6915","3340.2, 5283.2, 7650.7",1.5753,"0:3353.6868, 10:3742.7850, 20:4105.2608, 30:4493.4410, 40:4854.6725, 50:5212.4258, 60:5635.8652, 70:6022.9100, 80:6447.2456, 90:6909.4595, 100:7337.0308","0.9, 1.0, 1.0",1.1081,"0:0.8602, 10:0.9401, 20:0.9595, 30:0.9653, 40:0.9674, 50:0.9675, 60:0.9666, 70:0.9656, 80:0.9646, 90:0.9632, 100:0.9655","2593760.0, 2675343.3, 3035470.0",0.8894,"0:3007975.0000, 10:2743045.0000, 20:2677675.0000, 30:2652483.0000, 40:2638188.0000, 50:2630790.0000, 60:2624351.0000, 70:2619965.0000, 80:2615620.0000, 90:2612283.0000, 100:2606401.0000","0:0.0000, 10:822.7000, 20:1145.3000, 30:1355.0000, 40:1522.4000, 50:1680.4000, 60:1786.7000, 70:1930.5000, 80:2005.9000, 90:2048.5000, 100:1436.6000","0:0.0000, 10:16.6033, 20:17.8340, 30:17.9126, 40:17.9373, 50:17.8280, 60:17.5505, 70:17.3220, 80:16.9423, 90:16.3110, 100:9.2378","0:0.0000, 10:0.3590, 20:0.4997, 30:0.5912, 40:0.6642, 50:0.7333, 60:0.7797, 70:0.8425, 80:0.8753, 90:0.8939, 100:0.6269","0:0.0000, 10:787.0000, 20:1127.8000, 30:1353.7000, 40:1544.7000, 50:1714.2000, 60:1842.1000, 70:1997.9000, 80:2103.5000, 90:2196.0000, 100:1997.3000","0:0.0000, 10:19.0706, 20:21.1099, 30:22.0532, 40:23.1099, 50:23.9036, 60:24.4162, 70:24.8653, 80:25.3602, 90:25.3979, 100:20.1009","0:0.0000, 10:0.3434, 20:0.4921, 30:0.5907, 40:0.6740, 50:0.7480, 60:0.8039, 70:0.8719, 80:0.9179, 90:0.9583, 100:0.8716"
pref_agreement.py,"2594350.0, 2675874.5, 3037630.0",0.8885,"0:3011532.0000, 10:2743427.0000, 20:2682921.0000, 30:2652258.0000, 40:2639787.0000, 50:2629082.0000, 60:2623418.0000, 70:2619326.0000, 80:2615619.0000, 90:2611924.0000, 100:2605325.0000","3398.0, 39435.3, 229955.5",0.1922,"0:205125.3033, 10:72768.3565, 20:42644.8486, 30:28491.5806, 40:21812.9077, 50:16643.4563, 60:13308.2486, 70:10853.7857, 80:9077.3695, 90:7485.6418, 100:5576.9656","10797.5, 44765.8, 233308.3",0.2147,"0:208478.9907, 10:76508.2104, 20:46755.9607, 30:32964.7579, 40:26682.9579, 50:21921.2544, 60:18991.9627, 70:16960.3047, 80:15637.6983, 90:14516.4037, 100:13005.1990","3340.2, 5330.5, 7730.3",1.5894,"0:3353.6868, 10:3739.8539, 20:4111.1118, 30:4473.1773, 40:4870.0504, 50:5277.7980, 60:5683.7138, 70:6106.5188, 80:6560.3289, 90:7030.7621, 100:7428.2337","0.9, 1.0, 1.0",1.1077,"0:0.8602, 10:0.9405, 20:0.9583, 30:0.9661, 40:0.9673, 50:0.9679, 60:0.9669, 70:0.9653, 80:0.9635, 90:0.9620, 100:0.9634","2593760.0, 2674310.1, 3035470.0",0.8891,"0:3007975.0000, 10:2741712.0000, 20:2681018.0000, 30:2650942.0000, 40:2637985.0000, 50:2627406.0000, 60:2622398.0000, 70:2618567.0000, 80:2613897.0000, 90:2610204.0000, 100:2605307.0000","0:0.0000, 10:853.4000, 20:1182.2000, 30:1437.1000, 40:1615.0000, 50:1749.3000, 60:1886.4000, 70:2013.4000, 80:2107.0000, 90:2089.5000, 100:1566.9000","0:0.0000, 10:15.8101, 20:16.7380, 30:17.0812, 40:17.1359, 50:16.9987, 60:16.9925, 70:16.8263, 80:16.7427, 90:16.0892, 100:10.7291","0:0.0000, 10:0.3724, 20:0.5158, 30:0.6270, 40:0.7046, 50:0.7633, 60:0.8232, 70:0.8787, 80:0.9194, 90:0.9118, 100:0.6837","0:0.0000, 10:880.8000, 20:1286.9000, 30:1625.2000, 40:1877.8000, 50:2089.8000, 60:2278.3000, 70:2452.3000, 80:2566.5000, 90:2536.5000, 100:1746.8000","0:0.0000, 10:15.2157, 20:16.5870, 30:17.2513, 40:17.5808, 50:17.7549, 60:17.9465, 70:18.1311, 80:18.4139, 90:18.4497, 100:17.2852","0:0.0000, 10:0.3843, 20:0.5615, 30:0.7092, 40:0.8193, 50:0.9119, 60:0.9943, 70:1.0702, 80:1.1200, 90:1.1069, 100:0.7622"
pref_common_pool.py,"2594350.0, 2675913.7, 3037630.0",0.8886,"0:3011532.0000, 10:2744352.0000, 20:2681241.0000, 30:2650443.0000, 40:2638288.0000, 50:2631312.0000, 60:2624812.0000, 70:2619317.0000, 80:2616316.0000, 90:2612094.0000, 100:2605344.0000","3410.2, 39227.1, 229955.5",0.1912,"0:205125.3033, 10:72211.5208, 20:41625.6698, 30:27528.9480, 40:21183.5961, 50:17250.8224, 60:13482.0657, 70:10861.1588, 80:9130.8083, 90:7512.6877, 100:5585.1006","10811.1, 44556.3, 233308.3",0.2137,"0:208478.9907, 10:75950.0414, 20:45728.2488, 30:32008.6568, 40:26039.8954, 50:22536.7112, 60:19176.6424, 70:16964.8961, 80:15684.3352, 90:14536.2170, 100:13014.5307","3340.2, 5329.2, 7738.6",1.5891,"0:3353.6868, 10:3738.5206, 20:4102.5791, 30:4479.7085, 40:4856.2995, 50:5285.8890, 60:5694.5767, 70:6103.7374, 80:6553.5271, 90:7023.5293, 100:7429.4302","0.9, 1.0, 1.0",1.1077,"0:0.8602, 10:0.9402, 20:0.9589, 30:0.9667, 40:0.9680, 50:0.9670, 60:0.9663, 70:0.9654, 80:0.9633, 90:0.9620, 100:0.9634","2593760.0, 2674033.3, 3035470.0",0.8890,"0:3007975.0000, 10:2741972.0000, 20:2679058.0000, 30:2648717.0000, 40:2636272.0000, 50:2629138.0000, 60:2623522.0000, 70:2617861.0000, 80:2614296.0000, 90:2610229.0000, 100:2605326.0000","0:0.0000, 10:843.4000, 20:1220.9000, 30:1449.3000, 40:1633.2000, 50:1775.6000, 60:1921.2000, 70:2048.6000, 80:2126.7000, 90:2118.5000, 100:1592.7000","0:0.0000, 10:15.5835, 20:16.6171, 30:17.0266, 40:17.0745, 50:17.0000, 60:16.9057, 70:16.7783, 80:16.6494, 90:16.0196, 100:10.7118","0:0.0000, 10:0.3680, 20:0.5327, 30:0.6323, 40:0.7126, 50:0.7748, 60:0.8384, 70:0.8940, 80:0.9281, 90:0.9244, 100:0.6950","0:0.0000, 10:863.0000, 20:1324.0000, 30:1653.8000, 40:1915.6000, 50:2116.3000, 60:2317.5000, 70:2485.4000, 80:2603.9000, 90:2590.1000, 100:1776.9000","0:0.0000, 10:15.1536, 20:16.4756, 30:17.0816, 40:17.4678, 50:17.6564, 60:17.8422, 70:18.1083, 80:18.2764, 90:18.2753, 100:17.1142","0:0.0000, 10:0.3766, 20:0.5778, 30:0.7216, 40:0.8358, 50:0.9235, 60:1.0114, 70:1.0847, 80:1.1365, 90:1.1303, 100:0.7753"
pref_steal_agreement.py,"2594350.0, 2675679.1, 3037630.0",0.8885,"0:3011532.0000, 10:2742146.0000, 20:2682245.0000, 30:2652100.0000, 40:2638208.0000, 50:2629522.0000, 60:2623850.0000, 70:2619799.0000, 80:2615854.0000, 90:2611889.0000, 100:2605325.0000","3398.0, 39252.1, 229955.5",0.1914,"0:205125.3033, 10:71735.7611, 20:42434.7119, 30:27989.9262, 40:21177.2684, 50:16774.5405, 60:13372.7598, 70:10913.8594, 80:9155.8948, 90:7516.2199, 100:5577.2876","10797.5, 44580.8, 233308.3",0.2138,"0:208478.9907, 10:75474.9406, 20:46545.4141, 30:32467.8907, 40:26033.8156, 50:22045.6698, 60:19049.9150, 70:17018.6388, 80:15722.9477, 90:14544.5627, 100:13005.9691","3340.2, 5328.7, 7730.3",1.5889,"0:3353.6868, 10:3739.1800, 20:4110.7021, 30:4477.9644, 40:4856.5473, 50:5271.1289, 60:5677.1550, 70:6104.7791, 80:6567.0531, 90:7028.3430, 100:7428.6818","0.9, 1.0, 1.0",1.1078,"0:0.8602, 10:0.9410, 20:0.9585, 30:0.9661, 40:0.9681, 50:0.9678, 60:0.9668, 70:0.9652, 80:0.9633, 90:0.9620, 100:0.9634","2593760.0, 2674046.4, 3035470.0",0.8890,"0:3007975.0000, 10:2740337.0000, 20:2680966.0000, 30:2650416.0000, 40:2636082.0000, 50:2628082.0000, 60:2622576.0000, 70:2618581.0000, 80:2613876.0000, 90:2610312.0000, 100:2605307.0000","0:0.0000, 10:850.5000, 20:1187.0000, 30:1435.3000, 40:1605.8000, 50:1755.8000, 60:1886.6000, 70:2010.0000, 80:2104.8000, 90:2091.3000, 100:1567.6000","0:0.0000, 10:15.8151, 20:16.7031, 30:17.1270, 40:17.2971, 50:17.0152, 60:16.9495, 70:16.8088, 80:16.7147, 90:16.0934, 100:10.7250","0:0.0000, 10:0.3711, 20:0.5179, 30:0.6262, 40:0.7006, 50:0.7661, 60:0.8233, 70:0.8772, 80:0.9185, 90:0.9126, 100:0.6840","0:0.0000, 10:872.4000, 20:1283.6000, 30:1627.6000, 40:1888.4000, 50:2094.5000, 60:2277.2000, 70:2441.4000, 80:2559.4000, 90:2547.5000, 100:1747.4000","0:0.0000, 10:15.2499, 20:16.6164, 30:17.2490, 40:17.6623, 50:17.7571, 60:17.9658, 70:18.1325, 80:18.4203, 90:18.4154, 100:17.2908","0:0.0000, 10:0.3807, 20:0.5601, 30:0.7102, 40:0.8239, 50:0.9140, 60:0.9938, 70:1.0655, 80:1.1169, 90:1.1118, 100:0.7625"
rigid_backfill.py,"2659420.0, 2683337.0, 2716110.0",0.8910,"0:2683337.0000, 10:2683337.0000, 20:2683337.0000, 30:2683337.0000, 40:2683337.0000, 50:2683337.0000, 60:2683337.0000, 70:2683337.0000, 80:2683337.0000, 90:2683337.0000, 100:2683337.0000","32570.0, 43610.0, 53225.1",0.2126,"0:43609.9597, 10:43609.9597, 20:43609.9597, 30:43609.9597, 40:43609.9597, 50:43609.9597, 60:43609.9597, 70:43609.9597, 80:43609.9597, 90:43609.9597, 100:43609.9597","35931.3, 46963.6, 56588.7",0.2253,"0:46963.6468, 10:46963.6468, 20:46963.6468, 30:46963.6468, 40:46963.6468, 50:46963.6468, 60:46963.6468, 70:46963.6468, 80:46963.6468, 90:46963.6468, 100:46963.6468","3340.2, 3353.7, 3363.6",1.0000,"0:3353.6868, 10:3353.6868, 20:3353.6868, 30:3353.6868, 40:3353.6868, 50:3353.6868, 60:3353.6868, 70:3353.6868, 80:3353.6868, 90:3353.6868, 100:3353.6868","1.0, 1.0, 1.0",1.1223,"0:0.9655, 10:0.9655, 20:0.9655, 30:0.9655, 40:0.9655, 50:0.9655, 60:0.9655, 70:0.9655, 80:0.9655, 90:0.9655, 100:0.9655","2656560.0, 2681465.0, 2712900.0",0.8915,"0:2681465.0000, 10:2681465.0000, 20:2681465.0000, 30:2681465.0000, 40:2681465.0000, 50:2681465.0000, 60:2681465.0000, 70:2681465.0000, 80:2681465.0000, 90:2681465.0000, 100:2681465.0000","0:0.0000, 10:0.0000, 20:0.0000, 30:0.0000, 40:0.0000, 50:0.0000, 60:0.0000, 70:0.0000, 80:0.0000, 90:0.0000, 100:0.0000","0:0.0000, 10:0.0000, 20:0.0000, 30:0.0000, 40:0.0000, 50:0.0000, 60:0.0000, 70:0.0000, 80:0.0000, 90:0.0000, 100:0.0000","0:0.0000, 10:0.0000, 20:0.0000, 30:0.0000, 40:0.0000, 50:0.0000, 60:0.0000, 70:0.0000, 80:0.0000, 90:0.0000, 100:0.0000","0:0.0000, 10:0.0000, 20:0.0000, 30:0.0000, 40:0.0000, 50:0.0000, 60:0.0000, 70:0.0000, 80:0.0000, 90:0.0000, 100:0.0000","0:0.0000, 10:0.0000, 20:0.0000, 30:0.0000, 40:0.0000, 50:0.0000, 60:0.0000, 70:0.0000, 80:0.0000, 90:0.0000, 100:0.0000","0:0.0000, 10:0.0000, 20:0.0000, 30:0.0000, 40:0.0000, 50:0.0000, 60:0.0000, 70:0.0000, 80:0.0000, 90:0.0000, 100:0.0000"
