input_data,average_agreement.py,average_common_pool.py,average_steal_agreement.py,min_agreement.py,min_common_pool.py,min_steal_agreement.py,pref_agreement.py,pref_common_pool.py,pref_steal_agreement.py,rigid_backfill.py,rigid_easy_backfill.py,best_scheduler
"30D[100|0|0]#S0{1,128|5E12,4E17}",3008130,3008130,3008130,3008130,3008130,3008130,3008130,3008130,3008130,2674980,3008130,rigid_backfill.py
"30D[100|0|0]#S1{1,128|5E12,4E17}",2993050,2993050,2993050,2993050,2993050,2993050,2993050,2993050,2993050,2664830,2993050,rigid_backfill.py
"30D[100|0|0]#S2{1,128|5E12,4E17}",3018990,3018990,3018990,3018990,3018990,3018990,3018990,3018990,3018990,2716110,3018990,rigid_backfill.py
"30D[100|0|0]#S3{1,128|5E12,4E17}",3019040,3019040,3019040,3019040,3019040,3019040,3019040,3019040,3019040,2685150,3019040,rigid_backfill.py
"30D[100|0|0]#S4{1,128|5E12,4E17}",3006950,3006950,3006950,3006950,3006950,3006950,3006950,3006950,3006950,2690410,3006950,rigid_backfill.py
"30D[100|0|0]#S5{1,128|5E12,4E17}",3001010,3001010,3001010,3001010,3001010,3001010,3001010,3001010,3001010,2711130,3001010,rigid_backfill.py
"30D[100|0|0]#S6{1,128|5E12,4E17}",3018010,3018010,3018010,3018010,3018010,3018010,3018010,3018010,3018010,2673910,3018010,rigid_backfill.py
"30D[100|0|0]#S7{1,128|5E12,4E17}",3013800,3013800,3013800,3013800,3013800,3013800,3013800,3013800,3013800,2659420,3013800,rigid_backfill.py
"30D[100|0|0]#S8{1,128|5E12,4E17}",2998710,2998710,2998710,2998710,2998710,2998710,2998710,2998710,2998710,2675400,2998710,rigid_backfill.py
"30D[100|0|0]#S9{1,128|5E12,4E17}",3037630,3037630,3037630,3037630,3037630,3037630,3037630,3037630,3037630,2682030,3037630,rigid_backfill.py
"30D[90|0|10]#S0{1,128|5E12,4E17}",2727640,2721240,2728840,2724610,2709420,2731830,2716960,2726160,2715700,2674980,3008130,rigid_backfill.py
"30D[90|0|10]#S1{1,128|5E12,4E17}",2718800,2721580,2722580,2719190,2723270,2717550,2713170,2724840,2715190,2664830,2993050,rigid_backfill.py
"30D[90|0|10]#S2{1,128|5E12,4E17}",2777980,2775540,2774020,2774560,2781160,2774560,2775880,2777620,2774530,2716110,3018990,rigid_backfill.py
"30D[90|0|10]#S3{1,128|5E12,4E17}",2731050,2727940,2731050,2732430,2727580,2730760,2731030,2727370,2725050,2685150,3019040,rigid_backfill.py
"30D[90|0|10]#S4{1,128|5E12,4E17}",2754410,2752310,2758790,2757980,2754050,2758310,2748020,2737850,2748800,2690410,3006950,rigid_backfill.py
"30D[90|0|10]#S5{1,128|5E12,4E17}",2759910,2756710,2751330,2756490,2765280,2756490,2751150,2755290,2756910,2711130,3001010,rigid_backfill.py
"30D[90|0|10]#S6{1,128|5E12,4E17}",2743190,2740150,2750510,2728000,2744440,2728000,2746990,2729380,2747950,2673910,3018010,rigid_backfill.py
"30D[90|0|10]#S7{1,128|5E12,4E17}",2735870,2741400,2735870,2744420,2739500,2744420,2740610,2738510,2728250,2659420,3013800,rigid_backfill.py
"30D[90|0|10]#S8{1,128|5E12,4E17}",2742260,2742620,2746230,2739260,2761580,2743460,2754450,2769180,2753670,2675400,2998710,rigid_backfill.py
"30D[90|0|10]#S9{1,128|5E12,4E17}",2769540,2755920,2761980,2755750,2756160,2761140,2756010,2757320,2755410,2682030,3037630,rigid_backfill.py
"30D[80|0|20]#S0{1,128|5E12,4E17}",2661170,2656790,2661170,2670210,2659760,2658740,2658430,2655630,2654070,2674980,3008130,pref_steal_agreement.py
"30D[80|0|20]#S1{1,128|5E12,4E17}",2661660,2665740,2674980,2665680,2663400,2665680,2664780,2667030,2664280,2664830,2993050,average_agreement.py
"30D[80|0|20]#S2{1,128|5E12,4E17}",2713020,2710220,2711380,2714140,2712900,2711440,2718660,2712940,2717460,2716110,3018990,average_common_pool.py
"30D[80|0|20]#S3{1,128|5E12,4E17}",2671710,2671730,2672370,2670510,2674910,2670510,2675670,2680060,2678820,2685150,3019040,"min_agreement.py, min_steal_agreement.py"
"30D[80|0|20]#S4{1,128|5E12,4E17}",2700990,2703460,2705770,2703200,2700260,2703200,2706380,2690930,2706500,2690410,3006950,rigid_backfill.py
"30D[80|0|20]#S5{1,128|5E12,4E17}",2698530,2694850,2698530,2695440,2692310,2697590,2698420,2702600,2697500,2711130,3001010,min_common_pool.py
"30D[80|0|20]#S6{1,128|5E12,4E17}",2673900,2679090,2673150,2672200,2678270,2673060,2670660,2673400,2669980,2673910,3018010,pref_steal_agreement.py
"30D[80|0|20]#S7{1,128|5E12,4E17}",2668400,2666770,2659510,2669350,2668870,2664970,2682190,2678010,2676490,2659420,3013800,rigid_backfill.py
"30D[80|0|20]#S8{1,128|5E12,4E17}",2676680,2677750,2677050,2678600,2667920,2676620,2674190,2681170,2676240,2675400,2998710,min_common_pool.py
"30D[80|0|20]#S9{1,128|5E12,4E17}",2675260,2682580,2671760,2677810,2677690,2674450,2679830,2670640,2681110,2682030,3037630,pref_common_pool.py
"30D[70|0|30]#S0{1,128|5E12,4E17}",2643150,2638470,2642130,2642660,2636190,2640510,2637680,2643090,2634870,2674980,3008130,pref_steal_agreement.py
"30D[70|0|30]#S1{1,128|5E12,4E17}",2639140,2635740,2639320,2635770,2634120,2636510,2634890,2634640,2634530,2664830,2993050,min_common_pool.py
"30D[70|0|30]#S2{1,128|5E12,4E17}",2680800,2677360,2678940,2684730,2680850,2684530,2684630,2677880,2679960,2716110,3018990,average_common_pool.py
"30D[70|0|30]#S3{1,128|5E12,4E17}",2658810,2657020,2658810,2658550,2657380,2658670,2656860,2655170,2650000,2685150,3019040,pref_steal_agreement.py
"30D[70|0|30]#S4{1,128|5E12,4E17}",2672920,2668060,2667520,2665860,2665430,2665710,2667400,2666130,2668350,2690410,3006950,min_common_pool.py
"30D[70|0|30]#S5{1,128|5E12,4E17}",2680000,2680540,2680000,2680180,2677130,2679220,2678310,2677970,2678310,2711130,3001010,min_common_pool.py
"30D[70|0|30]#S6{1,128|5E12,4E17}",2645810,2646570,2645270,2651850,2645040,2647920,2645880,2641920,2645880,2673910,3018010,pref_common_pool.py
"30D[70|0|30]#S7{1,128|5E12,4E17}",2630800,2630820,2629860,2626460,2629980,2633360,2625780,2624890,2634980,2659420,3013800,pref_common_pool.py
"30D[70|0|30]#S8{1,128|5E12,4E17}",2639840,2644090,2639840,2644580,2642790,2644580,2640930,2637510,2638810,2675400,2998710,pref_common_pool.py
"30D[70|0|30]#S9{1,128|5E12,4E17}",2650720,2656840,2655650,2643330,2647010,2649430,2650220,2645230,2655310,2682030,3037630,min_agreement.py
"30D[60|0|40]#S0{1,128|5E12,4E17}",2631310,2631910,2631070,2629710,2631390,2632860,2633830,2627490,2631010,2674980,3008130,pref_common_pool.py
"30D[60|0|40]#S1{1,128|5E12,4E17}",2631100,2629540,2633440,2633160,2631260,2632920,2631070,2631200,2630120,2664830,2993050,average_common_pool.py
"30D[60|0|40]#S2{1,128|5E12,4E17}",2664560,2662820,2661660,2667290,2667430,2667970,2669340,2663440,2666590,2716110,3018990,average_steal_agreement.py
"30D[60|0|40]#S3{1,128|5E12,4E17}",2653770,2652610,2653770,2653910,2653760,2653840,2650670,2653490,2650660,2685150,3019040,pref_steal_agreement.py
"30D[60|0|40]#S4{1,128|5E12,4E17}",2647470,2648720,2647470,2647810,2652060,2648560,2650230,2650930,2645430,2690410,3006950,pref_steal_agreement.py
"30D[60|0|40]#S5{1,128|5E12,4E17}",2670240,2667780,2669610,2667450,2671390,2668020,2666990,2668390,2666990,2711130,3001010,"pref_agreement.py, pref_steal_agreement.py"
"30D[60|0|40]#S6{1,128|5E12,4E17}",2632510,2630330,2633080,2632090,2628820,2631510,2628940,2627730,2628810,2673910,3018010,pref_common_pool.py
"30D[60|0|40]#S7{1,128|5E12,4E17}",2612640,2612280,2612720,2612570,2612700,2612570,2612080,2610560,2610800,2659420,3013800,pref_common_pool.py
